problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,second,confidence
Problem 1,B,S3,45,3,1,0,0,1,1,1,1,142 ,7
Problem 2,B,S3,116,2,1,0,0,1,1,0,0,299 ,7
Problem 3,B,S3,59,4,1,3,0,4,0,0,1,234 ,7
Problem 4,B,S3,405,10,1,4,0,8,1,1,1,1057 ,7
Problem 5,B,S3,135,2,1,0,0,2,0,0,1,202 ,7
Problem 1,B,S4,20,1,1,0,0,0,1,0,1,51 ,7
Problem 2,B,S4,403,2,1,0,0,1,1,0,1,424 ,5
Problem 3,B,S4,36,1,2,0,0,1,0,0,1,448 ,5
Problem 4,B,S4,272,3,5,0,0,1,1,1,0,877 ,6
Problem 5,B,S4,26,3,1,0,1,1,1,1,0,115 ,4
Problem 1,B,S5,255,4,1,0,0,2,2,0,1,329 ,5
Problem 2,B,S5,287,2,2,0,0,1,1,0,0,280 ,6
Problem 3,B,S5,136,3,1,0,0,1,1,1,1,230 ,6
Problem 4,B,S5,154,5,1,0,0,2,3,0,1,568 ,6
Problem 5,B,S5,74,1,1,0,0,1,0,0,1,119 ,6
Problem 1,B,S6,348,4,1,0,0,1,2,1,1,772 ,6
Problem 2,B,S6,618,3,3,0,0,1,1,1,1,796 ,4
Problem 3,B,S6,30,2,1,0,0,1,0,1,0,128 ,7
Problem 4,B,S6,104,3,1,0,0,1,0,2,0,345 ,7
Problem 5,B,S6,45,1,1,0,0,1,0,0,0,295 ,3
Problem 1,B,S7,166,3,1,0,0,1,2,0,1,400 ,7
Problem 2,B,S7,40,2,1,0,0,1,1,0,1,156 ,7
Problem 3,B,S7,74,5,1,4,0,5,0,0,1,241 ,7
Problem 4,B,S7,188,7,14,5,0,6,0,1,0,762 ,7
Problem 5,B,S7,38,1,1,0,0,1,0,0,0,119 ,7
Problem 1,B,S8,47,3,1,0,0,1,1,1,1,105 ,7
Problem 2,B,S8,61,3,1,0,0,1,1,1,0,133 ,7
Problem 3,B,S8,56,4,1,3,0,4,0,0,1,154 ,7
Problem 4,B,S8,392,3,8,0,0,1,0,2,0,531 ,7
Problem 5,B,S8,36,1,1,0,0,1,0,0,0,70 ,7
Problem 1,B,S9,234,2,1,0,0,1,1,0,1,394 ,3
Problem 2,B,S9,135,1,1,0,0,1,0,0,0,263 ,4
Problem 3,B,S9,68,1,1,0,1,1,0,0,1,217 ,6
Problem 4,B,S9,25,1,1,0,1,1,0,0,0,155 ,6
Problem 5,B,S9,75,1,1,0,1,1,0,0,0,177 ,4
Problem 1,B,S10,338,7,4,0,0,1,5,1,1,467 ,4
Problem 2,B,S10,33,2,1,0,0,1,1,0,0,139 ,4
Problem 3,B,S10,58,3,3,2,0,3,0,0,1,317 ,6
Problem 4,B,S10,70,3,4,2,0,3,0,0,1,551 ,6
Problem 5,B,S10,74,1,2,0,0,1,0,0,1,351 ,6
Problem 1,B,S12,338,4,1,0,0,1,2,1,0,529 ,5
Problem 2,B,S12,100,2,1,1,0,1,1,0,0,432 ,6
Problem 3,B,S12,47,5,1,4,0,5,0,0,1,178 ,7
Problem 4,B,S12,787,10,1,1,0,7,0,3,1,758 ,7
Problem 5,B,S12,106,3,1,0,0,1,1,1,1,253 ,7
Problem 1,B,S16,195,3,2,0,0,1,1,1,1,407 ,7
Problem 2,B,S16,105,3,1,0,0,1,2,0,1,142 ,7
Problem 3,B,S16,220,1,4,0,0,1,0,0,1,344 ,7
Problem 4,B,S16,360,14,3,12,0,14,0,0,1,916 ,7
Problem 5,B,S16,150,14,1,12,1,14,0,0,1,327 ,7
Problem 1,B,S18,109,3,1,0,0,1,1,1,0,459 ,6
Problem 2,B,S18,362,6,1,0,1,1,4,1,0,587 ,5
Problem 3,B,S18,128,4,12,3,0,4,0,0,1,479 ,7
Problem 4,B,S18,478,4,11,2,0,4,0,0,1,1110 ,7
Problem 5,B,S18,46,4,4,2,1,4,0,0,1,199 ,7
Problem 1,B,S19,72,2,1,0,0,1,0,1,1,227 ,7
Problem 2,B,S19,78,3,1,0,0,1,1,1,0,227 ,6
Problem 3,B,S19,255,1,2,0,0,1,0,0,1,142 ,7
Problem 4,B,S19,463,4,3,3,1,4,0,0,1,491 ,6
Problem 5,B,S19,159,1,1,0,0,1,0,0,1,108 ,7
Problem 1,B,S20,161,4,1,1,0,1,2,1,1,527 ,4
Problem 2,B,S20,42,2,1,0,0,1,1,0,1,217 ,6
Problem 3,B,S20,52,5,1,3,0,4,0,1,1,294 ,6
Problem 4,B,S20,234,5,7,3,0,4,0,1,1,956 ,6
Problem 5,B,S20,79,5,1,3,1,4,0,1,1,112 ,6
Problem 1,B,S21,132,2,1,0,0,0,2,0,1,183 ,5
Problem 2,B,S21,128,3,1,0,0,2,1,0,0,253 ,6
Problem 3,B,S21,127,6,1,4,0,5,0,1,1,387 ,5
Problem 4,B,S21,271,10,9,5,0,9,1,0,1,812 ,5
Problem 5,B,S21,216,1,2,0,0,1,0,0,1,159 ,4
Problem 1,B,S22,100,3,1,0,0,2,1,0,1,345 ,3
Problem 2,B,S22,93,4,1,0,0,1,2,1,1,583 ,6
Problem 3,B,S22,855,13,1,9,0,2,11,0,1,1041 ,7
Problem 4,B,S22,80,2,1,0,0,1,1,0,1,371 ,7
Problem 5,B,S22,236,12,10,7,0,2,10,0,1,768 ,7
Problem 1,B,S23,53,2,1,0,0,1,0,1,1,176 ,7
Problem 2,B,S23,32,3,1,0,1,1,1,1,0,124 ,7
Problem 3,B,S23,185,7,2,3,1,4,1,2,1,94 ,5
Problem 4,B,S23,116,10,6,6,1,7,1,2,1,1842 ,7
Problem 5,B,S23,65,4,5,2,0,3,0,1,1,184 ,7
Problem 1,B,S24,92,3,1,0,0,1,1,1,1,543 ,5
Problem 2,B,S24,652,3,1,0,0,1,2,0,1,400 ,6
Problem 3,B,S24,83,1,4,0,1,1,0,0,1,274 ,7
Problem 4,B,S24,1164,2,8,0,1,2,0,0,0,638 ,7
Problem 5,B,S24,48,1,1,0,0,1,0,0,0,115 ,7
Problem 1,B,S25,359,3,1,1,0,1,2,0,1,499 ,5
Problem 2,B,S25,43,2,1,0,0,1,1,0,0,139 ,6
Problem 3,B,S25,106,7,1,3,0,7,0,0,1,274 ,6
Problem 4,B,S25,40,1,7,0,0,1,0,0,1,103 ,6
Problem 5,B,S25,75,6,1,5,0,6,0,0,1,129 ,7
Problem 1,B,S26,44,2,1,0,0,0,1,1,1,110 ,6
Problem 2,B,S26,44,2,1,0,0,1,1,0,1,119 ,5
Problem 3,B,S26,47,2,1,0,1,1,1,0,1,155 ,7
Problem 4,B,S26,115,3,11,0,1,1,1,1,1,519 ,6
Problem 5,B,S26,35,3,4,0,1,1,1,1,1,120 ,7
Problem 1,B,S27,62,2,1,0,0,1,0,1,1,154 ,7
Problem 2,B,S27,221,1,1,0,0,1,0,0,0,195 ,7
Problem 3,B,S27,234,2,1,0,0,1,1,0,1,229 ,7
Problem 4,B,S27,265,1,1,0,0,1,0,0,1,231 ,7
Problem 5,B,S27,203,1,1,0,0,1,0,0,1,74 ,7
Problem 1,B,S28,66,2,1,0,0,0,1,1,1,502 ,6
Problem 2,B,S28,71,2,1,1,0,2,0,0,0,354 ,5
Problem 3,B,S28,139,1,1,0,0,1,0,0,1,246 ,5
Problem 4,B,S28,135,7,1,6,0,7,0,0,1,462 ,6
Problem 5,B,S28,173,7,5,6,1,7,0,0,1,304 ,7
Problem 1,B,S29,75,2,1,0,0,1,0,1,1,227 ,7
Problem 2,B,S29,93,2,1,0,0,1,0,1,1,237 ,7
Problem 3,B,S29,35,2,1,0,0,1,0,1,1,115 ,7
Problem 4,B,S29,56,3,1,0,0,1,0,2,1,303 ,7
Problem 5,B,S29,359,2,1,0,0,1,1,0,0,507 ,7
Problem 1,B,S30,180,3,2,0,0,2,1,0,1,273 ,7
Problem 2,B,S30,237,7,1,0,1,4,3,0,1,397 ,7
Problem 3,B,S30,71,1,2,0,0,1,0,0,1,69 ,7
Problem 4,B,S30,218,3,1,0,1,2,0,1,1,427 ,5
Problem 5,B,S30,32,1,1,0,0,1,0,0,1,116 ,5
Problem 1,B,S31,268,5,1,0,0,1,3,1,1,403 ,6
Problem 2,B,S31,85,3,1,0,0,1,1,1,1,227 ,7
Problem 3,B,S31,318,5,1,0,0,2,2,1,0,665 ,7
Problem 4,B,S31,263,2,2,0,0,1,0,1,1,345 ,7
Problem 5,B,S31,181,2,1,0,0,1,1,0,1,564 ,5
Problem 1,B,S32,53,2,1,0,0,1,0,1,0,195 ,5
Problem 2,B,S32,66,1,1,0,0,1,0,0,1,121 ,6
Problem 3,B,S32,43,1,1,0,0,1,0,0,1,189 ,6
Problem 4,B,S32,28,1,1,0,1,1,0,0,1,205 ,5
Problem 5,B,S32,44,1,1,0,0,1,0,0,0,103 ,5
Problem 1,B,S33,134,3,1,0,0,1,1,1,1,283 ,6
Problem 2,B,S33,38,2,1,0,0,1,1,0,1,93 ,6
Problem 3,B,S33,109,1,2,0,0,1,0,0,1,220 ,5
Problem 4,B,S33,267,12,7,0,0,11,0,1,1,735 ,5
Problem 5,B,S33,208,12,4,0,1,11,0,1,1,389 ,5
Problem 1,B,S34,65,4,1,1,0,1,2,1,1,414 ,5
Problem 2,B,S34,77,4,1,1,0,2,1,1,1,363 ,4
Problem 3,B,S34,61,2,1,0,0,1,0,1,1,359 ,6
Problem 4,B,S34,141,6,1,1,0,5,0,1,1,514 ,3
Problem 5,B,S34,90,1,1,0,0,1,0,0,1,217 ,3
Problem 1,B,S36,22,1,1,0,0,0,1,0,1,74 ,6
Problem 2,B,S36,137,3,1,0,0,1,2,0,1,625 ,6
Problem 3,B,S36,72,5,1,1,0,5,0,0,1,229 ,6
Problem 4,B,S36,149,9,11,7,0,9,0,0,1,589 ,6
Problem 5,B,S36,82,5,1,3,0,5,0,0,0,259 ,6
Problem 1,B,S37,255,4,2,0,0,2,0,2,0,282 ,7
Problem 2,B,S37,59,1,1,0,0,1,0,0,0,300 ,7
Problem 3,B,S37,34,1,1,0,0,1,0,0,1,160 ,4
Problem 4,B,S37,47,1,1,0,0,1,0,0,1,229 ,7
Problem 5,B,S37,34,1,1,0,0,1,0,0,0,89 ,7
,,,,,,,,,,,,318 ,
,,,,,,,,,,,,371 ,
,,,,,,,,,,,,251 ,
,,,,,,,,,,,,684 ,
,,,,,,,,,,,,81 ,
,,,,,,,,,,,,515 ,
,,,,,,,,,,,,273 ,
,,,,,,,,,,,,244 ,
,,,,,,,,,,,,317 ,
,,,,,,,,,,,,91 ,
,,,,,,,,,,,,353 ,
,,,,,,,,,,,,161 ,
,,,,,,,,,,,,335 ,
,,,,,,,,,,,,433 ,
,,,,,,,,,,,,132 ,
,,,,,,,,,,,,236 ,
,,,,,,,,,,,,278 ,
,,,,,,,,,,,,171 ,
,,,,,,,,,,,,105 ,
,,,,,,,,,,,,141 ,
,,,,,,,,,,,,152 ,
,,,,,,,,,,,,96 ,
,,,,,,,,,,,,280 ,
,,,,,,,,,,,,587 ,
,,,,,,,,,,,,679 ,
,,,,,,,,,,,,415 ,
,,,,,,,,,,,,103 ,
,,,,,,,,,,,,142 ,
,,,,,,,,,,,,121 ,
,,,,,,,,,,,,579 ,
,,,,,,,,,,,,371 ,
,,,,,,,,,,,,207 ,
,,,,,,,,,,,,307 ,
,,,,,,,,,,,,597 ,
,,,,,,,,,,,,169 ,
,,,,,,,,,,,,84 ,
,,,,,,,,,,,,174 ,
,,,,,,,,,,,,217 ,
,,,,,,,,,,,,456 ,
,,,,,,,,,,,,83 ,
,,,,,,,,,,,,663 ,
,,,,,,,,,,,,79 ,
,,,,,,,,,,,,117 ,
,,,,,,,,,,,,283 ,
,,,,,,,,,,,,359 ,
,,,,,,,,,,,,184 ,
,,,,,,,,,,,,198 ,
,,,,,,,,,,,,127 ,
,,,,,,,,,,,,318 ,
,,,,,,,,,,,,800 ,
,,,,,,,,,,,,245 ,
,,,,,,,,,,,,97 ,
,,,,,,,,,,,,259 ,
,,,,,,,,,,,,476 ,
,,,,,,,,,,,,65 ,
,,,,,,,,,,,,334 ,
,,,,,,,,,,,,257 ,
,,,,,,,,,,,,283 ,
,,,,,,,,,,,,329 ,
,,,,,,,,,,,,634 ,
,,,,,,,,,,,,409 ,
,,,,,,,,,,,,305 ,
,,,,,,,,,,,,242 ,
,,,,,,,,,,,,1131 ,
,,,,,,,,,,,,127 ,
,,,,,,,,,,,,257 ,
,,,,,,,,,,,,242 ,
,,,,,,,,,,,,311 ,
,,,,,,,,,,,,693 ,
,,,,,,,,,,,,955 ,
,,,,,,,,,,,,212 ,
,,,,,,,,,,,,65 ,
,,,,,,,,,,,,182 ,
,,,,,,,,,,,,487 ,
,,,,,,,,,,,,156 ,
