problem,group,user,logs,units,annotation,unit branch,session branch,Parallel Coordinate Plot,Scatter Plot,Scatterplot Matrix,Accuracy,time,confidence
Problem 1,B,S3,45,3,1,0,0,1,1,1,1,0:02:22,7
Problem 2,B,S3,116,2,1,0,0,1,1,0,0,0:04:59,7
Problem 3,C,S3,59,4,1,3,0,4,0,0,1,0:03:54,7
Problem 4,C,S3,405,10,1,4,0,8,1,1,1,0:17:37,7
Problem 5,B,S3,135,2,1,0,0,2,0,0,1,0:03:22,7
Problem 1,B,S4,20,1,1,0,0,0,1,0,1,0:00:51,7
Problem 2,B,S4,403,2,1,0,0,1,1,0,1,0:07:04,5
Problem 3,B,S4,36,1,2,0,0,1,0,0,1,0:07:28,5
Problem 4,B,S4,272,3,5,0,0,1,1,1,0,0:14:37,6
Problem 5,C,S4,26,3,1,0,1,1,1,1,0,0:01:55,4
Problem 1,B,S5,255,4,1,0,0,2,2,0,1,0:05:29,5
Problem 2,B,S5,287,2,2,0,0,1,1,0,0,0:04:40,6
Problem 3,B,S5,136,3,1,0,0,1,1,1,1,0:03:50,6
Problem 4,B,S5,154,5,1,0,0,2,3,0,1,0:09:28,6
Problem 5,B,S5,74,1,1,0,0,1,0,0,1,0:01:59,6
Problem 1,B,S6,348,4,1,0,0,1,2,1,1,0:12:52,6
Problem 2,B,S6,618,3,3,0,0,1,1,1,1,0:13:16,4
Problem 3,B,S6,30,2,1,0,0,1,0,1,0,0:02:08,7
Problem 4,B,S6,104,3,1,0,0,1,0,2,0,0:05:45,7
Problem 5,B,S6,45,1,1,0,0,1,0,0,0,0:04:55,3
Problem 1,B,S7,166,3,1,0,0,1,2,0,1,0:06:40,7
Problem 2,B,S7,40,2,1,0,0,1,1,0,1,0:02:36,7
Problem 3,C,S7,74,5,1,4,0,5,0,0,1,0:04:01,7
Problem 4,C,S7,188,7,14,5,0,6,0,1,0,0:12:42,7
Problem 5,B,S7,38,1,1,0,0,1,0,0,0,0:01:59,7
Problem 1,B,S8,47,3,1,0,0,1,1,1,1,0:01:45,7
Problem 2,B,S8,61,3,1,0,0,1,1,1,0,0:02:13,7
Problem 3,C,S8,56,4,1,3,0,4,0,0,1,0:02:34,7
Problem 4,B,S8,392,3,8,0,0,1,0,2,0,0:08:51,7
Problem 5,B,S8,36,1,1,0,0,1,0,0,0,0:01:10,7
Problem 1,B,S9,234,2,1,0,0,1,1,0,1,0:06:34,3
Problem 2,B,S9,135,1,1,0,0,1,0,0,0,0:04:23,4
Problem 3,C,S9,68,1,1,0,1,1,0,0,1,0:03:37,6
Problem 4,C,S9,25,1,1,0,1,1,0,0,0,0:02:35,6
Problem 5,C,S9,75,1,1,0,1,1,0,0,0,0:02:57,4
Problem 1,B,S10,338,7,4,0,0,1,5,1,1,0:07:47,4
Problem 2,B,S10,33,2,1,0,0,1,1,0,0,0:02:19,4
Problem 3,C,S10,58,3,3,2,0,3,0,0,1,0:05:17,6
Problem 4,C,S10,70,3,4,2,0,3,0,0,1,0:09:11,6
Problem 5,B,S10,74,1,2,0,0,1,0,0,1,0:05:51,6
Problem 1,B,S12,338,4,1,0,0,1,2,1,0,0:08:49,5
Problem 2,C,S12,100,2,1,1,0,1,1,0,0,0:07:12,6
Problem 3,C,S12,47,5,1,4,0,5,0,0,1,0:02:58,7
Problem 4,C,S12,787,10,1,1,0,7,0,3,1,0:12:38,7
Problem 5,B,S12,106,3,1,0,0,1,1,1,1,0:04:13,7
Problem 1,B,S16,195,3,2,0,0,1,1,1,1,0:06:47,7
Problem 2,B,S16,105,3,1,0,0,1,2,0,1,0:02:22,7
Problem 3,B,S16,220,1,4,0,0,1,0,0,1,0:05:44,7
Problem 4,C,S16,360,14,3,12,0,14,0,0,1,0:15:16,7
Problem 5,C,S16,150,14,1,12,1,14,0,0,1,0:05:27,7
Problem 1,B,S18,109,3,1,0,0,1,1,1,0,0:07:39,6
Problem 2,C,S18,362,6,1,0,1,1,4,1,0,0:09:47,5
Problem 3,C,S18,128,4,12,3,0,4,0,0,1,0:07:59,7
Problem 4,C,S18,478,4,11,2,0,4,0,0,1,0:18:30,7
Problem 5,C,S18,46,4,4,2,1,4,0,0,1,0:03:19,7
Problem 1,B,S19,72,2,1,0,0,1,0,1,1,0:03:47,7
Problem 2,B,S19,78,3,1,0,0,1,1,1,0,0:03:47,6
Problem 3,B,S19,255,1,2,0,0,1,0,0,1,0:02:22,7
Problem 4,C,S19,463,4,3,3,1,4,0,0,1,0:08:11,6
Problem 5,B,S19,159,1,1,0,0,1,0,0,1,0:01:48,7
Problem 1,C,S20,161,4,1,1,0,1,2,1,1,0:08:47,4
Problem 2,B,S20,42,2,1,0,0,1,1,0,1,0:03:37,6
Problem 3,C,S20,52,5,1,3,0,4,0,1,1,0:04:54,6
Problem 4,C,S20,234,5,7,3,0,4,0,1,1,0:15:56,6
Problem 5,C,S20,79,5,1,3,1,4,0,1,1,0:01:52,6
Problem 1,B,S21,132,2,1,0,0,0,2,0,1,0:03:03,5
Problem 2,B,S21,128,3,1,0,0,2,1,0,0,0:04:13,6
Problem 3,C,S21,127,6,1,4,0,5,0,1,1,0:06:27,5
Problem 4,C,S21,271,10,9,5,0,9,1,0,1,0:13:32,5
Problem 5,B,S21,216,1,2,0,0,1,0,0,1,0:02:39,4
Problem 1,B,S22,100,3,1,0,0,2,1,0,1,0:05:45,3
Problem 2,B,S22,93,4,1,0,0,1,2,1,1,0:09:43,6
Problem 3,C,S22,855,13,1,9,0,2,11,0,1,0:17:21,7
Problem 4,B,S22,80,2,1,0,0,1,1,0,1,0:06:11,7
Problem 5,C,S22,236,12,10,7,0,2,10,0,1,0:12:48,7
Problem 1,B,S23,53,2,1,0,0,1,0,1,1,0:02:56,7
Problem 2,C,S23,32,3,1,0,1,1,1,1,0,0:02:04,7
Problem 3,C,S23,185,7,2,3,1,4,1,2,1,0:01:34,5
Problem 4,C,S23,116,10,6,6,1,7,1,2,1,0:30:42,7
Problem 5,C,S23,65,4,5,2,0,3,0,1,1,0:03:04,7
Problem 1,B,S24,92,3,1,0,0,1,1,1,1,0:09:03,5
Problem 2,B,S24,652,3,1,0,0,1,2,0,1,0:06:40,6
Problem 3,C,S24,83,1,4,0,1,1,0,0,1,0:04:34,7
Problem 4,C,S24,1164,2,8,0,1,2,0,0,0,0:10:38,7
Problem 5,B,S24,48,1,1,0,0,1,0,0,0,0:01:55,7
Problem 1,C,S25,359,3,1,1,0,1,2,0,1,0:08:19,5
Problem 2,B,S25,43,2,1,0,0,1,1,0,0,0:02:19,6
Problem 3,C,S25,106,7,1,3,0,7,0,0,1,0:04:34,6
Problem 4,B,S25,40,1,7,0,0,1,0,0,1,0:01:43,6
Problem 5,C,S25,75,6,1,5,0,6,0,0,1,0:02:09,7
Problem 1,B,S26,44,2,1,0,0,0,1,1,1,0:01:50,6
Problem 2,B,S26,44,2,1,0,0,1,1,0,1,0:01:59,5
Problem 3,C,S26,47,2,1,0,1,1,1,0,1,0:02:35,7
Problem 4,C,S26,115,3,11,0,1,1,1,1,1,0:08:39,6
Problem 5,C,S26,35,3,4,0,1,1,1,1,1,0:02:00,7
Problem 1,B,S27,62,2,1,0,0,1,0,1,1,0:02:34,7
Problem 2,B,S27,221,1,1,0,0,1,0,0,0,0:03:15,7
Problem 3,B,S27,234,2,1,0,0,1,1,0,1,0:03:49,7
Problem 4,B,S27,265,1,1,0,0,1,0,0,1,0:03:51,7
Problem 5,B,S27,203,1,1,0,0,1,0,0,1,0:01:14,7
Problem 1,B,S28,66,2,1,0,0,0,1,1,1,0:08:22,6
Problem 2,C,S28,71,2,1,1,0,2,0,0,0,0:05:54,5
Problem 3,B,S28,139,1,1,0,0,1,0,0,1,0:04:06,5
Problem 4,C,S28,135,7,1,6,0,7,0,0,1,0:07:42,6
Problem 5,C,S28,173,7,5,6,1,7,0,0,1,0:05:04,7
Problem 1,B,S29,75,2,1,0,0,1,0,1,1,0:03:47,7
Problem 2,B,S29,93,2,1,0,0,1,0,1,1,0:03:57,7
Problem 3,B,S29,35,2,1,0,0,1,0,1,1,0:01:55,7
Problem 4,B,S29,56,3,1,0,0,1,0,2,1,0:05:03,7
Problem 5,B,S29,359,2,1,0,0,1,1,0,0,0:08:27,7
Problem 1,B,S30,180,3,2,0,0,2,1,0,1,0:04:33,7
Problem 2,C,S30,237,7,1,0,1,4,3,0,1,0:06:37,7
Problem 3,B,S30,71,1,2,0,0,1,0,0,1,0:01:09,7
Problem 4,C,S30,218,3,1,0,1,2,0,1,1,0:07:07,5
Problem 5,B,S30,32,1,1,0,0,1,0,0,1,0:01:56,5
Problem 1,B,S31,268,5,1,0,0,1,3,1,1,0:06:43,6
Problem 2,B,S31,85,3,1,0,0,1,1,1,1,0:03:47,7
Problem 3,B,S31,318,5,1,0,0,2,2,1,0,0:11:05,7
Problem 4,B,S31,263,2,2,0,0,1,0,1,1,0:05:45,7
Problem 5,B,S31,181,2,1,0,0,1,1,0,1,0:09:24,5
Problem 1,B,S32,53,2,1,0,0,1,0,1,0,0:03:15,5
Problem 2,B,S32,66,1,1,0,0,1,0,0,1,0:02:01,6
Problem 3,B,S32,43,1,1,0,0,1,0,0,1,0:03:09,6
Problem 4,C,S32,28,1,1,0,1,1,0,0,1,0:03:25,5
Problem 5,B,S32,44,1,1,0,0,1,0,0,0,0:01:43,5
Problem 1,B,S33,134,3,1,0,0,1,1,1,1,0:04:43,6
Problem 2,B,S33,38,2,1,0,0,1,1,0,1,0:01:33,6
Problem 3,B,S33,109,1,2,0,0,1,0,0,1,0:03:40,5
Problem 4,B,S33,267,12,7,0,0,11,0,1,1,0:12:15,5
Problem 5,C,S33,208,12,4,0,1,11,0,1,1,0:06:29,5
Problem 1,C,S34,65,4,1,1,0,1,2,1,1,0:06:54,5
Problem 2,C,S34,77,4,1,1,0,2,1,1,1,0:06:03,4
Problem 3,B,S34,61,2,1,0,0,1,0,1,1,0:05:59,6
Problem 4,C,S34,141,6,1,1,0,5,0,1,1,0:08:34,3
Problem 5,B,S34,90,1,1,0,0,1,0,0,1,0:03:37,3
Problem 1,B,S36,22,1,1,0,0,0,1,0,1,0:01:14,6
Problem 2,B,S36,137,3,1,0,0,1,2,0,1,0:10:25,6
Problem 3,C,S36,72,5,1,1,0,5,0,0,1,0:03:49,6
Problem 4,C,S36,149,9,11,7,0,9,0,0,1,0:09:49,6
Problem 5,C,S36,82,5,1,3,0,5,0,0,0,0:04:19,6
Problem 1,B,S37,255,4,2,0,0,2,0,2,0,0:04:42,7
Problem 2,B,S37,59,1,1,0,0,1,0,0,0,0:05:00,7
Problem 3,B,S37,34,1,1,0,0,1,0,0,1,0:02:40,4
Problem 4,B,S37,47,1,1,0,0,1,0,0,1,0:03:49,7
Problem 5,B,S37,34,1,1,0,0,1,0,0,0,0:01:29,7
Problem 1,A,S38,239,2,1,0,0,1,1,0,1,0:05:18,2
Problem 2,A,S38,122,3,1,0,0,1,2,0,1,0:06:11,2
Problem 3,A,S38,33,1,3,0,0,1,0,0,1,0:04:11,7
Problem 4,A,S38,107,3,7,0,0,1,1,1,0,0:11:24,5
Problem 5,A,S38,15,1,1,0,0,1,0,0,0,0:01:21,5
Problem 1,A,S39,75,2,1,0,0,1,0,1,0,0:08:35,5
Problem 2,A,S39,93,3,1,0,0,1,1,1,0,0:04:33,5
Problem 3,A,S39,72,1,1,0,0,1,0,0,1,0:04:04,7
Problem 4,A,S39,79,3,1,0,0,1,2,0,1,0:05:17,6
Problem 5,A,S39,18,1,1,0,0,1,0,0,0,0:01:31,6
Problem 1,A,S40,121,3,1,0,0,1,1,1,0,0:05:53,4
Problem 2,A,S40,33,2,1,0,0,1,1,0,0,0:02:41,6
Problem 3,A,S40,161,1,2,0,0,1,0,0,1,0:05:35,7
Problem 4,A,S40,181,2,1,0,0,1,1,0,1,0:07:13,7
Problem 5,A,S40,81,1,1,0,0,1,0,0,0,0:02:12,7
Problem 1,A,S41,129,2,1,0,0,1,0,1,1,0:03:56,7
Problem 2,A,S41,94,2,1,0,0,1,0,1,1,0:04:38,5
Problem 3,A,S41,45,2,1,0,0,1,0,1,1,0:02:51,7
Problem 4,A,S41,96,1,1,0,0,1,0,0,0,0:01:45,7
Problem 5,A,S41,42,1,1,0,0,1,0,0,0,0:02:21,7
Problem 1,A,S42,38,3,1,0,0,1,1,1,0,0:02:32,7
Problem 2,A,S42,33,3,1,0,0,1,1,1,0,0:01:36,7
Problem 3,A,S42,56,2,1,0,0,1,1,0,1,0:04:40,7
Problem 4,A,S42,487,6,1,0,0,1,4,1,1,0:09:47,4
Problem 5,A,S42,127,6,1,0,0,1,4,1,0,0:11:19,4
Problem 1,A,S43,124,4,1,0,0,1,2,1,1,0:06:55,7
Problem 2,A,S43,22,1,1,0,0,1,0,0,1,0:01:43,4
Problem 3,A,S43,26,1,1,0,0,1,0,0,1,0:02:22,7
Problem 4,A,S43,17,1,2,0,0,1,0,0,1,0:02:01,7
Problem 5,A,S43,60,1,7,0,0,1,0,0,1,0:09:39,7
Problem 1,A,S44,74,3,1,0,0,1,0,2,1,0:06:11,2
Problem 2,A,S44,42,2,1,0,0,1,0,1,0,0:03:27,6
Problem 3,A,S44,78,2,5,0,0,1,0,1,1,0:05:07,7
Problem 4,A,S44,105,2,10,0,0,1,0,1,0,0:09:57,7
Problem 5,A,S44,112,1,1,0,0,1,0,0,0,0:02:49,5
Problem 1,A,S45,16,1,1,0,0,0,1,0,1,0:01:24,7
Problem 2,A,S45,42,2,1,0,0,1,1,0,0,0:02:54,3
Problem 3,A,S45,105,1,1,0,0,1,0,0,1,0:03:37,3
Problem 4,A,S45,219,2,1,0,0,1,0,1,0,0:07:36,7
Problem 5,A,S45,75,2,1,0,0,1,0,1,0,0:01:23,7
Problem 1,A,S46,270,5,1,0,0,2,2,1,0,0:11:03,4
Problem 2,A,S46,90,1,1,0,0,1,0,0,1,0:01:19,5
Problem 3,A,S46,41,1,1,0,0,1,0,0,1,0:01:57,7
Problem 4,A,S46,64,1,1,0,0,1,0,0,1,0:04:43,7
Problem 5,A,S46,88,2,1,0,0,1,0,1,1,0:05:59,5
Problem 1,A,S47,48,2,1,0,0,1,1,0,1,0:03:04,6
Problem 2,A,S47,86,2,1,0,0,1,1,0,1,0:03:18,7
Problem 3,A,S47,37,1,1,0,0,0,1,0,0,0:02:07,7
Problem 4,A,S47,48,2,5,0,0,1,0,1,1,0:05:18,7
Problem 5,A,S47,692,1,5,0,0,1,0,0,1,0:13:20,7
Problem 1,A,S48,111,4,1,0,0,1,2,1,1,0:04:05,7
Problem 2,A,S48,59,2,1,0,0,1,1,0,1,0:01:37,7
Problem 3,A,S48,70,3,1,0,0,2,0,1,1,0:04:19,7
Problem 4,A,S48,120,3,4,0,0,3,0,0,1,0:07:56,7
Problem 5,A,S48,15,1,1,0,0,1,0,0,1,0:01:05,7
Problem 1,A,S49,234,4,2,0,0,1,2,1,0,0:05:34,4
Problem 2,A,S49,134,2,1,0,0,1,0,1,0,0:04:17,4
Problem 3,A,S49,143,2,1,0,0,1,1,0,0,0:04:43,6
Problem 4,A,S49,110,3,1,0,0,1,0,2,0,0:05:29,5
Problem 5,A,S49,196,2,2,0,0,1,0,1,0,0:10:34,2
Problem 1,A,S50,125,3,1,0,0,1,2,0,1,0:06:49,7
Problem 2,A,S50,128,2,1,0,0,1,1,0,1,0:05:05,7
Problem 3,A,S50,51,2,1,0,0,1,1,0,1,0:04:02,7
Problem 4,A,S50,223,3,5,0,0,1,2,0,0,0:18:51,7
Problem 5,A,S50,50,1,1,0,0,1,0,0,0,0:02:07,7
Problem 1,A,S51,45,2,1,0,0,1,1,0,0,0:04:17,5
Problem 2,A,S51,161,3,1,0,0,1,2,0,1,0:04:02,6
Problem 3,A,S51,97,3,1,0,0,1,1,1,1,0:05:11,7
Problem 4,A,S51,109,1,23,0,0,1,0,0,1,0:11:33,7
Problem 5,A,S51,126,2,18,0,0,1,0,1,1,0:15:55,7
Problem 1,A,S52,51,2,1,0,0,1,0,1,1,0:03:32,6
Problem 2,A,S52,16,1,1,0,0,1,0,0,1,0:01:05,7
Problem 3,A,S52,95,2,1,0,0,1,1,0,1,0:03:02,6
Problem 4,A,S52,175,2,7,0,0,1,0,1,1,0:08:07,4
Problem 5,A,S52,57,1,4,0,0,1,0,0,1,0:02:36,5
